name,address,latitude,longitude,technicalPlatform,level,establishmentType,establishmentCode,services
CENTE D'ECOUTE ALLAH KOUADIO REMI,,5.33758148,-4.04211349,,CENTRE_SANTE,PRIVE,0521,
CENTRE D'ACCUEIL DE LA CROIX BLEU,,5.36297714,-4.01821762,,CENTRE_SANTE,PUBLIQUE,0541,
CENTRE MEDICAL INTER-ENTREPRISE du PLATEAU,,5.32069,-4.01355,,CENTRE_SANTE,PRIVE,1977,
CENTRE MEDICAL PUBLIC  de la PRESIDENCE,,5.321599999,-4.0168,,CENTRE_SANTE,PUBLIQUE,1694,
CENTRE MEDICAL PUBLIC de la GARDE REPUBLICAINE ABIDJAN,,5.32149285,-4.02350909,,CENTRE_SANTE,PUBLIQUE,1649,
Centre Social de 220 Logements de ADJAME,,5.3494602,-4.01620757,,CENTRE_SANTE,PUBLIQUE,0610,
CENTRE SOCIAL de ABOBO DOUME,,5.31089872,-4.04044338,,CENTRE_SANTE,PUBLIQUE,0699,
CENTRE SOCIAL de ADJAME SANTE,,5.34112433,-4.02711133,,CENTRE_SANTE,PUBLIQUE,0733,
Centre Social de ADJAME VILLAGE,,5.35031932,-4.0252605,,CENTRE_SANTE,PUBLIQUE,0745,
Centre Social de ATTECOUBE,,5.3147,-4.0356,,CENTRE_SANTE,PUBLIQUE,0775,
Centre Social de BROMAKOTE,,5.350566667,-4.025193333,,CENTRE_SANTE,PUBLIQUE,0779,
CLINIQUE MEDICAL ADJAME LIBERTE,,5.3503748,-4.01725967,,CLINIQUE_PRIVEE,PRIVE,1706,
CLINIQUE HALL INRI Fraternité,,5.34895647,-4.02207939,,CLINIQUE_PRIVEE,PRIVE,0809,
POLYCLINIQUE GROUPE MEDICAL DU PLATEAU,,5.32069,-4.01355,,CLINIQUE_PRIVEE,PRIVE,1782,
CMS PRIVE Assemblée National de PLATEAU,,5.32899472,-4.02074073,,CENTRE_SANTE,PRIVE,7784,
CMS PRIVE Kouassi Kouamé des Finances de PLATEAU,,5.326166667,-4.022085,,CENTRE_SANTE,PRIVE,1980,
CMS PRIVE Paul Bohoun Bouabré du Trésor de PLATEAU,,5.326199999,-4.0227,,CENTRE_SANTE,PRIVE,1033,
CMS PUBLIC GSPM de Indenié de ADJAME,,5.3388,-4.0191,,CENTRE_SANTE,PUBLIQUE,0387,
CMS PUBLIC Imprimérie National de PLATEAU,,5.3257,-4.0213,,CENTRE_SANTE,PUBLIQUE,1538,
CMS DE LA CITE DE L'ENFANCE DE LA CROIX ROUGE D'ADJAME,,5.3487,-4.0182,,CENTRE_SANTE,PRIVE,'0083,
CSU-D PUBLIC de ADJAME WILLIAMSVILLE,,5.366800001,-4.0231,,CENTRE_SANTE,PUBLIQUE,0082,
CSU-DM PUBLIC D'ADJAME WILIAMSVILLE,,5.36702,-4.023133333,,CENTRE_SANTE,PUBLIQUE,1122,
CSU-DM PUBLIC DE AGBAN VILLAGE,,5.361,-4.0307,,CENTRE_SANTE,PUBLIQUE,0945,
CSU-DM PUBLIC JEAN PAUL II ASSAPSU DE ATTECOUBE,,5.3147,-4.0356,,CENTRE_SANTE,PUBLIQUE,1127,
CSU-DM PUBLIC ABIDJAN SANTAI,,5.337400001,-4.042,,CENTRE_SANTE,PUBLIQUE,2211,
CSU-DM PUBLIC de ABOBO-DOUME,,5.316099999,-4.0361,,CENTRE_SANTE,PUBLIQUE,0089,
CSU-DM PUBLIC de LOCODJRO,,5.316099999,-4.0361,,CENTRE_SANTE,PUBLIQUE,0093,
CSUS-CAT PUBLIC de ADJAME,,5.348835,-4.02447,,CENTRE_SANTE,PUBLIQUE,0069,
CSUS-PMI PUBLIC INSP de PLATEAU,,5.338709,-4.027271,,CENTRE_SANTE,PUBLIQUE,0123,
CSUS-SSSU SAJ PUBLIC de ADJAME-CENTRE,,5.34713675,-4.02428049,,CENTRE_SANTE,PUBLIQUE,'0073,
CSUS-SSSU SAJ PUBLIC de ADJAME-NORD,,5.353803333,-4.029975,,CENTRE_SANTE,PUBLIQUE,'0072,
CSUS-SSSU SAJ PUBLIC de PLATEAU,,5.3236,-4.0211,,CENTRE_SANTE,PUBLIQUE,2455,
CSUS-SSSU SAJ PUBLIC Quartier Ebrié de ADJAME,,5.356000001,-4.0179,,CENTRE_SANTE,PUBLIQUE,'0068,
ESPACE MEDICAL St PAUL,,5.325913333,-4.0221,,CENTRE_SANTE,PRIVE,9724,
FSU PUBLIC de ADJAME WILIAMSVILLE,,5.366800001,-4.0231,,CENTRE_SANTE,PUBLIQUE,0084,
FSU PUBLIC de ATTECOUBE,,5.353078333,-4.034831667,,CENTRE_SANTE,PUBLIQUE,0087,
FSU PUBLIC Fonctionnaire de PLATEAU,,5.32569,-4.02176,,CENTRE_SANTE,PUBLIQUE,0120,
